scenario_name,algorithm_name,algorithm_type,makespan,total_energy,energy_efficiency,success_rate,execution_time,additional_metrics
linear_abundant_run_4,Power-Aware Min-Min,heuristic,1.5007057874571486,0.5394093854156874,18.53879496793267,0.3333333333333333,0.001135110855102539,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_5,Power-Aware Min-Min,heuristic,2.03767539498398,0.4024674417335724,24.84673035146991,0.3333333333333333,0.0010728836059570312,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_1,Energy-Efficient HEFT,heuristic,9.531627340201618,0.9919636478772993,30.243043748827823,1.0,0.00044918060302734375,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_2,Energy-Efficient HEFT,heuristic,9.229351032448378,0.9164571835706663,32.7347535027388,1.0,0.00045180320739746094,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_3,Energy-Efficient HEFT,heuristic,8.962012424890517,1.1082791380657977,27.068992792156052,1.0,0.000457763671875,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_4,Energy-Efficient HEFT,heuristic,9.326395458845793,0.9041422264269947,33.18062039703038,1.0,0.00047206878662109375,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_5,Energy-Efficient HEFT,heuristic,8.712958963282937,0.8893737204685528,33.73160158610821,1.0,0.000453948974609375,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_1,Energy-Efficient HEFT,heuristic,8.71963095848283,0.8138322227917308,36.86263477881159,1.0,0.00045013427734375,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_2,Energy-Efficient HEFT,heuristic,9.45076957899502,0.8820718273728687,34.010835704106924,1.0,0.00045490264892578125,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_3,Energy-Efficient HEFT,heuristic,9.042786170536345,0.8928835690881346,33.59900555750821,1.0,0.0004572868347167969,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_4,Energy-Efficient HEFT,heuristic,8.699887674869805,0.9014050285351214,33.281376351708595,1.0,0.0004627704620361328,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_5,Energy-Efficient HEFT,heuristic,10.13276353276353,0.9400952833175057,31.911658884334457,1.0,0.00044989585876464844,"{'scheduled_tasks': 30, 'total_tasks': 30}"
parallel_bottleneck_run_1,Random,heuristic,13.050394656952033,0.9699629214474387,6.185803464576181,0.1,0.0007317066192626953,"{'scheduled_tasks': 6, 'total_tasks': 60}"
parallel_bottleneck_run_2,Random,heuristic,45.820633059788975,4.664544259835955,2.7869818091204457,0.21666666666666667,0.0007510185241699219,"{'scheduled_tasks': 13, 'total_tasks': 60}"
parallel_bottleneck_run_3,Random,heuristic,51.510194624652456,4.672622981757226,4.2802511732882484,0.3333333333333333,0.0007848739624023438,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_4,Random,heuristic,85.9326923076923,7.020994994556959,2.84859909678116,0.3333333333333333,0.0007889270782470703,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_5,Random,heuristic,59.46169253880821,4.068753318126733,4.9155105842612405,0.3333333333333333,0.0008866786956787109,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_1,Min-Min,heuristic,50.603531300160505,5.707054487639581,3.5044347383253975,0.3333333333333333,0.0004119873046875,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_2,Min-Min,heuristic,36.02524127691166,4.440927206215566,3.8280294205693424,0.2833333333333333,0.00035834312438964844,"{'scheduled_tasks': 17, 'total_tasks': 60}"
parallel_bottleneck_run_3,Min-Min,heuristic,30.785435630689204,3.9589730775845853,5.0518151066089665,0.3333333333333333,0.0003998279571533203,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_4,Min-Min,heuristic,28.987146529562985,3.5493289980242593,5.634867889432915,0.3333333333333333,0.0004608631134033203,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_5,Min-Min,heuristic,34.5583038869258,3.7247899489595615,5.369430296488682,0.3333333333333333,0.00044798851013183594,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_1,Max-Min,heuristic,114.63164721141374,10.749438364445764,1.8605623216698346,0.3333333333333333,0.0005631446838378906,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_2,Max-Min,heuristic,79.4061181434599,9.72629471852573,2.0562815109751797,0.3333333333333333,0.0005681514739990234,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_3,Max-Min,heuristic,71.7960687960688,10.859173683643805,1.7496727240506327,0.31666666666666665,0.0005161762237548828,"{'scheduled_tasks': 19, 'total_tasks': 60}"
parallel_bottleneck_run_4,Max-Min,heuristic,34.893115942028984,4.142992176478133,4.827428860124366,0.3333333333333333,0.0006110668182373047,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_5,Max-Min,heuristic,49.971042471042466,6.499926747822788,3.076957752900706,0.3333333333333333,0.0005838871002197266,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_1,HEFT,heuristic,146.37536873156338,19.40178534033212,3.0409572606368216,0.9833333333333333,0.000202178955078125,"{'scheduled_tasks': 59, 'total_tasks': 60}"
parallel_bottleneck_run_2,HEFT,heuristic,147.9216789268715,15.07663881404573,3.9796668700521414,1.0,0.00021696090698242188,"{'scheduled_tasks': 60, 'total_tasks': 60}"
parallel_bottleneck_run_3,HEFT,heuristic,99.00192307692309,18.288968914005093,3.2806660824959883,1.0,0.0002028942108154297,"{'scheduled_tasks': 60, 'total_tasks': 60}"
parallel_bottleneck_run_4,HEFT,heuristic,91.71772727272727,10.940062632476112,5.484429295851292,1.0,0.0002193450927734375,"{'scheduled_tasks': 60, 'total_tasks': 60}"
parallel_bottleneck_run_5,HEFT,heuristic,98.78500382555468,7.659848767544979,3.7859755303360445,0.48333333333333334,0.00017881393432617188,"{'scheduled_tasks': 29, 'total_tasks': 60}"
parallel_bottleneck_run_1,Power-Aware Min-Min,heuristic,124.3693754197448,7.565803671367808,2.6434733002243282,0.3333333333333333,0.0024840831756591797,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_2,Power-Aware Min-Min,heuristic,80.5098398169336,6.485514874141876,3.083795255753889,0.3333333333333333,0.0019998550415039062,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_3,Power-Aware Min-Min,heuristic,8.865696698377167,0.7224711620966238,4.152414874655963,0.05,0.00015306472778320312,"{'scheduled_tasks': 3, 'total_tasks': 60}"
parallel_bottleneck_run_4,Power-Aware Min-Min,heuristic,50.90664350846722,3.8038575288271343,4.469147403962237,0.2833333333333333,0.0010039806365966797,"{'scheduled_tasks': 17, 'total_tasks': 60}"
parallel_bottleneck_run_5,Power-Aware Min-Min,heuristic,63.144067796610166,4.490244821092278,4.454100120789156,0.3333333333333333,0.0016257762908935547,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_1,Power-Aware Min-Min,heuristic,70.66030347528145,4.7499426225050305,4.210577177341223,0.3333333333333333,0.001725912094116211,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_2,Power-Aware Min-Min,heuristic,52.37508896797153,6.366429632705485,3.1414782152395797,0.3333333333333333,0.0011348724365234375,"{'scheduled_tasks': 20, 'total_tasks': 60}"
